/home/xchen/GANs/SNGAN_projection-PyTorch/samples/1102_mnist_SN_10kepochs_hatano

[(9800, 25.221277211015263),
 (8900, 25.379348421923368),
 (9500, 25.69165517213449),
 (8700, 25.843827200704595),
 (9200, 26.31962878492621),
 (9100, 26.688816983553068),
 (8800, 27.050687920184913),
 (9400, 27.05913082213533),
 (9600, 27.188983029034972),
 (9000, 27.41696431609168),
 (8300, 27.45777320654497),
 (9700, 27.483446255982784),
 (9300, 27.594150467429472),
 (8600, 27.874872747960808),
 (8100, 28.611254549983812),
 (7900, 28.920314415640973),
 (8400, 29.107881117730074),
 (8200, 29.415645092230733),
 (8000, 29.425158012397276),
 (7800, 29.532009992777148),
 (8500, 29.596189202146803),
 (7600, 29.891666598633407),
 (6900, 30.65122020096078),
 (7500, 30.740374324288723),
 (7400, 30.767626837092365),
 (7200, 30.83166600250067),
 (7100, 31.41212811487162),
 (7700, 31.427803790303102),
 (7000, 31.443909610276165),
 (6600, 31.76164491971292),
 (7300, 31.87387990238841),
 (6700, 32.53967569402394),
 (6400, 34.20427137657455),
 (6800, 34.71217865782529),
 (6500, 35.55596551736423),
 (6300, 37.65766233573092),
 (6100, 39.278888446757406),
 (6200, 39.97697588013878),
 (6000, 41.1621633259451),
 (5900, 41.900905992703684),
 (5800, 42.45147662877247),
 (5700, 42.850204575640134),
 (5600, 47.15587315898347),
 (5500, 49.42152192642436),
 (5400, 53.42140838185176),
 (5300, 57.65376681014868),
 (5200, 60.08155515428308),
 (5100, 61.24547110187751),
 (5000, 63.43567248661623),
 (4800, 67.0515564561484),
 (4900, 68.63521538291482),
 (4600, 72.7013922689379),
 (4700, 73.26132077571216),
 (4500, 74.43739759719617),
 (4300, 78.02509900084564),
 (4400, 78.18824359535617),
 (4000, 81.34464626270778),
 (4200, 83.77404881756735),
 (4100, 83.92584454201477),
 (3900, 92.17893657301158),
 (3700, 94.75009364458978),
 (3800, 100.72126259603675),
 (3600, 103.23883212831586),
 (3500, 121.51377042957864),
 (3300, 121.88673592064879),
 (3400, 128.14011757117902),
 (3200, 153.2264078437322),
 (3100, 161.21234047816142),
 (3000, 164.23857098573484),
 (2800, 177.40236610635597),
 (2900, 188.71138612782562),
 (2700, 204.36579583775494),
 (2600, 205.5190792146709),
 (2400, 213.80927884847742),
 (2500, 214.6831634245175),
 (2300, 239.80974285150674),
 (2100, 241.06597310347223),
 (2200, 253.26624047341457),
 (1900, 253.64749925608666),
 (1600, 259.79341445929686),
 (1500, 260.41197577008813),
 (1800, 276.40222451116307),
 (1400, 280.2963680862652),
 (1700, 282.48542972846747),
 (1200, 294.1108331084417),
 (2000, 296.6413252525289),
 (1300, 298.23564668910603),
 (400, 312.3479676279467),
 (300, 325.32439260268603),
 (900, 327.21229983500507),
 (700, 333.9971554001771),
 (1100, 340.96555168454586),
 (1000, 344.25124307293265),
 (800, 346.84504948479423),
 (200, 359.7455809652193),
 (500, 365.59596002800026),
 (600, 408.1692460756825),
 (100, 413.6726763158057),
 (0, 521.957750419489)]
