/home/xchen/GANs/SNGAN_projection-PyTorch/samples/1108_fashion_SN_10kepochs_matsumoto

[(9500, 46.478263686926766),
 (9600, 47.119013766532106),
 (9700, 47.13426298223908),
 (9300, 47.30820930555447),
 (9800, 47.34538685681781),
 (9400, 47.79393824958413),
 (9000, 48.52929331695884),
 (8900, 48.761917764179145),
 (8500, 48.813832188213524),
 (8400, 48.84311938698596),
 (8800, 48.86183270531646),
 (8100, 48.98757398268879),
 (7900, 49.0847424456164),
 (9200, 49.17928257783325),
 (8000, 49.21149052634962),
 (9100, 49.49870796457185),
 (8600, 49.714168125456155),
 (7800, 49.90051825753875),
 (8200, 50.327423466391906),
 (7300, 50.35998793803668),
 (8700, 51.17270425042483),
 (7100, 51.90217362138006),
 (7200, 53.07834678728054),
 (8300, 53.18033571129888),
 (7700, 53.19711974119292),
 (7500, 53.465717728883874),
 (7600, 53.91991865403685),
 (6800, 54.08224836060549),
 (7400, 54.232059480055455),
 (6900, 54.24064695042031),
 (7000, 55.099353537437764),
 (6600, 56.54725601260293),
 (6300, 56.989257683224395),
 (6700, 57.25609123156414),
 (6500, 57.659763101982094),
 (6400, 58.93331178974216),
 (6100, 60.06394088067057),
 (6200, 60.81726146691648),
 (5600, 66.26541734557566),
 (6000, 67.24421952551984),
 (5900, 68.53926132861022),
 (5700, 69.74911418879606),
 (5800, 71.77502066868408),
 (5500, 72.53847767275892),
 (5400, 75.40492466777576),
 (5300, 75.43832960095119),
 (5200, 78.21948596695321),
 (5100, 78.97903789345744),
 (4900, 81.19723844808465),
 (4800, 82.38258315856376),
 (4600, 83.54585483019889),
 (4700, 84.89975653774877),
 (5000, 86.42916511546102),
 (4500, 88.98094463752409),
 (4400, 90.2974928852251),
 (4300, 94.03920643275191),
 (4200, 100.0635096954752),
 (4000, 106.4579515619292),
 (4100, 106.92116971163838),
 (3900, 107.2078139337072),
 (3800, 116.43585053091806),
 (3600, 118.06984354450202),
 (3500, 120.70005376852603),
 (3700, 126.70361817052719),
 (3400, 129.54352439447095),
 (3300, 133.38229744138073),
 (3200, 142.6267917661535),
 (3100, 145.01314456859217),
 (3000, 152.55887765120337),
 (2900, 164.3953086200552),
 (2800, 172.49350755630894),
 (2700, 180.71534004617865),
 (2600, 187.9885794825397),
 (2500, 202.81279547817107),
 (2400, 212.95401774829097),
 (2300, 217.925025617199),
 (2200, 233.29146868808073),
 (2100, 249.4264396082342),
 (2000, 249.93794354859597),
 (1900, 266.1112313768556),
 (1800, 292.5456580446107),
 (1700, 296.4209335536126),
 (1600, 317.3657853490978),
 (1200, 339.2573693337527),
 (1300, 341.5980560949646),
 (100, 351.9751468025335),
 (1500, 352.7456174316912),
 (1400, 354.34777837582305),
 (400, 364.36666656860086),
 (200, 369.6160744308579),
 (900, 369.7417765199288),
 (1100, 371.5698565849592),
 (1000, 382.180254932152),
 (800, 397.7889886497293),
 (0, 408.93498177191805),
 (700, 411.97838888210055),
 (500, 417.82604856221326),
 (600, 425.3995540239579),
 (300, 430.3502174279719)]
